s 0 | P(Si): 0.0849418640 | -log2(P(Si)): 3.5573804214 | Entropy: 0.3021705240  | Codeword: 111 | CodeLength: 3 | AVG.Length: 0.2548255920 
s 1 | P(Si): 0.0801544189 | -log2(P(Si)): 3.6410741308 | Entropy: 0.2918481813  | Codeword: 110 | CodeLength: 3 | AVG.Length: 0.2404632568 
s 2 | P(Si): 0.0714836121 | -log2(P(Si)): 3.8062436543 | Entropy: 0.2720840448  | Codeword: 011 | CodeLength: 3 | AVG.Length: 0.2144508362 
s 3 | P(Si): 0.0670280457 | -log2(P(Si)): 3.8990913202 | Entropy: 0.2613484710  | Codeword: 001 | CodeLength: 3 | AVG.Length: 0.2010841370 
s 4 | P(Si): 0.0603599548 | -log2(P(Si)): 4.0502644634 | Entropy: 0.2444737801  | Codeword: 111 | CodeLength: 3 | AVG.Length: 0.1810798645 
s 5 | P(Si): 0.0543289185 | -log2(P(Si)): 4.2021358627 | Entropy: 0.2282974966  | Codeword: 101 | CodeLength: 3 | AVG.Length: 0.1629867554 
s 6 | P(Si): 0.0488700867 | -log2(P(Si)): 4.3549045266 | Entropy: 0.2128245617  | Codeword: 011 | CodeLength: 3 | AVG.Length: 0.1466102600 
s 7 | P(Si): 0.0426483154 | -log2(P(Si)): 4.5513674323 | Entropy: 0.1941081539  | Codeword: 000 | CodeLength: 3 | AVG.Length: 0.1279449463 
s 8 | P(Si): 0.0379409790 | -log2(P(Si)): 4.7200992842 | Entropy: 0.1790851878  | Codeword: 1010 | CodeLength: 4 | AVG.Length: 0.1517639160 
s 9 | P(Si): 0.0336532593 | -log2(P(Si)): 4.8931099549 | Entropy: 0.1646690980  | Codeword: 0100 | CodeLength: 4 | AVG.Length: 0.1346130371 
s 10 | P(Si): 0.0298614502 | -log2(P(Si)): 5.0655719594 | Entropy: 0.1512653248  | Codeword: 1101 | CodeLength: 4 | AVG.Length: 0.1194458008 
s 11 | P(Si): 0.0257949829 | -log2(P(Si)): 5.2767656991 | Entropy: 0.1361140810  | Codeword: 1000 | CodeLength: 4 | AVG.Length: 0.1031799316 
s 12 | P(Si): 0.0229301453 | -log2(P(Si)): 5.4466106953 | Entropy: 0.1248915744  | Codeword: 0100 | CodeLength: 4 | AVG.Length: 0.0917205811 
s 13 | P(Si): 0.0201530457 | -log2(P(Si)): 5.6328583054 | Entropy: 0.1135192506  | Codeword: 10111 | CodeLength: 5 | AVG.Length: 0.1007652283 
s 14 | P(Si): 0.0177879333 | -log2(P(Si)): 5.8129572857 | Entropy: 0.1034004968  | Codeword: 01010 | CodeLength: 5 | AVG.Length: 0.0889396667 
s 15 | P(Si): 0.0153503418 | -log2(P(Si)): 6.0255854102 | Entropy: 0.0924947956  | Codeword: 00001 | CodeLength: 5 | AVG.Length: 0.0767517090 
s 16 | P(Si): 0.0143737793 | -log2(P(Si)): 6.1204167504 | Entropy: 0.0879735196  | Codeword: 11001 | CodeLength: 5 | AVG.Length: 0.0718688965 
s 17 | P(Si): 0.0124244690 | -log2(P(Si)): 6.3306719956 | Entropy: 0.0786552379  | Codeword: 01011 | CodeLength: 5 | AVG.Length: 0.0621223450 
s 18 | P(Si): 0.0116462708 | -log2(P(Si)): 6.4239881258 | Entropy: 0.0748155050  | Codeword: 00111 | CodeLength: 5 | AVG.Length: 0.0582313538 
s 19 | P(Si): 0.0102577209 | -log2(P(Si)): 6.6071459601 | Entropy: 0.0677742595  | Codeword: 00100 | CodeLength: 5 | AVG.Length: 0.0512886047 
s 20 | P(Si): 0.0094833374 | -log2(P(Si)): 6.7203894189 | Entropy: 0.0637317203  | Codeword: 010111 | CodeLength: 6 | AVG.Length: 0.0569000244 
